Kategorie;Unter-Kategorie;Typ;Klassifizierung;Spalte1
Geschäftsdaten;Kundendaten (identifizierbar durch Nutzer oder Organisation);Bankkontonummern (DSGVO);Vertraulich;
Geschäftsdaten;Kundendaten (identifizierbar durch Nutzer oder Organisation);Belege und Zahlungsdaten (DSGVO);Streng Vertraulich;
Geschäftsdaten;Dokumentation;Aktuelle Systemkonfigurationsdaten;Vertraulich;
Geschäftsdaten;Dokumentation;Daten- oder Software-Dateifreigaben;Vertraulich;
Geschäftsdaten;Dokumentation;Design- und Funktionsspezifikationen;Streng Vertraulich;
Geschäftsdaten;Dokumentation;Zukünftige oder aktive Prozesse oder Prozeduren;Vertraulich;
Geschäftsdaten;Dokumentation;Zukünftige oder aktive Vertriebs- und Marketingpläne;Streng Vertraulich;
Geschäftsdaten;Dokumentation;Betriebsanweisungen oder Handbücher;Vertraulich;
Geschäftsdaten;Mitarbeiterdaten;Persönliche Beschäftigungsdaten (DSGVO);Vertraulich;
Geschäftsdaten;Mitarbeiterdaten;Sensible persönliche Beschäftigungsdaten (DSGVO);Streng Vertraulich;
Geschäftsdaten;Schlüssel und Zertifikate;Hardware- oder Software-Token;Streng Vertraulich;
Geschäftsdaten;Schlüssel und Zertifikate;Private kryptografische Schlüssel;Streng Vertraulich;
Geschäftsdaten;Schlüssel und Zertifikate;Produktschlüssel (individuell);Vertraulich;
Geschäftsdaten;Schlüssel und Zertifikate;Öffentliche kryptografische Schlüssel;öffentlich;
Geschäftsdaten;Legal;ACP E-Mails;Streng Vertraulich;?
Geschäftsdaten;Legal;Durchgeführte Verträge - vertraulich;Streng Vertraulich;
Geschäftsdaten;Medien;Freigegebenes öffentliches Video;öffentlich;
Geschäftsdaten;Medien;Medienproduktmerkmale und Freigabezeitpläne;Vertraulich;
Geschäftsdaten;Medien;Mediendateien für Vorabversionen und neue Produkte;Streng Vertraulich;
Geschäftsdaten;Medien;Video-Fallstudien oder interne Webcasts;Intern;
Geschäftsdaten;Nicht-Benutzerdaten;Angekündigte Finanzdaten des Unternehmens;öffentlich;
Geschäftsdaten;Nicht-Benutzerdaten;Vertraulicher Quellcode;Vertraulich;
Geschäftsdaten;Nicht-Benutzerdaten;Quellcode mit hohem Risiko;Streng Vertraulich;
Geschäftsdaten;Nicht-Benutzerdaten;Wesentliche Finanzkennzahlen;Streng Vertraulich;
Geschäftsdaten;Nicht-Benutzerdaten;Betriebsgeheimnisse;Vertraulich;
Geschäftsdaten;Nicht-Benutzerdaten;Offener Quellcode;öffentlich;
Geschäftsdaten;Nicht-Benutzerdaten;Öffentlich freigegebener Quellcode;öffentlich;
Geschäftsdaten;Nicht-Benutzerdaten;Unangekündigte Finanzdaten;Streng Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Adresse (DSGVO);Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Alter (DSGVO);Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Biometrische Merkmale (DSGVO);Streng Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Vollständige Geo-Location-Tracking-Daten;Streng Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Kreditkarten- und Transaktionsinformationen (DSGVO);Streng Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Informationen zur Anpassung (Customization) ;Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;DNA-Sequenzen und -Proben (DSGVO);Streng Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;E-Mail Adresse (DSGVO);Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Gesichtserkennungsmuster (DSGVO);Streng Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Faxnummer ;Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Finanzprofil (DSGVO);Streng Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Geschlecht (DSGVO);Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Von der Regierung herausgegebene Informationen (DSGVO);Streng Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;IP-Adresse;Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Microsoft Account ID (DSGVO);Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Name (Vor- und Nachname) (DSGVO) ;Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Persönliche Identifikationsnummer (DSGVO);Streng Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Telefonnummer (DSGVO);Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Geschützte Gesundheitsinformationen (DSGVO);Streng Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Geo-Standortdaten in Echtzeit (DSGVO);Intern;
Geschäftsdaten;Persönliche Benutzerdaten;Sozialversicherungsnummer (DSGVO);Streng Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Benutzername und Passwort (DSGVO);Streng Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Aufzeichnungen von Sprachbefehlen (DSGVO);Vertraulich;
Geschäftsdaten;Persönliche Benutzerdaten;Postleitzahl (nicht mit einer Person verbunden);Intern;
Geschäftsdaten;Vertriebs- und Marketingdaten;Durchgeführte Verkaufsverträge;Vertraulich;
Geschäftsdaten;Vertriebs- und Marketingdaten;Zahlungsdaten;Streng Vertraulich;
Geschäftsdaten;Vertriebs- und Marketingdaten;Belege ;Vertraulich;
Geschäftsdaten;Vertriebs- und Marketingdaten;Vertriebskontodaten;Vertraulich;
Geschäftsdaten;Vertriebs- und Marketingdaten;Verkaufsnotizen über Kunden (DSGVO);Vertraulich;
Geschäftsdaten;Daten zu Lieferanten oder Lieferantenmanagement;Zahlungsanweisungen;Vertraulich;
Geschäftsdaten;Daten zu Lieferanten oder Lieferantenmanagement;Lieferantenverträge;Vertraulich;
Geschäftsdaten;Daten zu Lieferanten oder Lieferantenmanagement;Leistungsdaten des Anbieters;Vertraulich;
Geschäftsdaten;Sonstige;"Daten mit fehlender Klassifizierung die als ""vertraulich"" gekennzeichnet";Streng Vertraulich;
Geschäftsdaten;Sonstige ;Daten mit fehlender Klassifizierung und ohne Kennzeichnung ;Vertraulich;
Unternehmensdienste;Unternehmensdaten für (kommerzielle) Dienstleistungen;Zugriffskontrolldaten;Streng Vertraulich;
Unternehmensdienste;Unternehmensdaten für (kommerzielle) Dienstleistungen;Kontodaten;Vertraulich;
Unternehmensdienste;Unternehmensdaten für (kommerzielle) Dienstleistungen;Administrator-Daten (DSGVO);Streng Vertraulich;
Unternehmensdienste;Unternehmensdaten für (kommerzielle) Dienstleistungen;Kundeninhalte (DSGVO);Streng Vertraulich;
Unternehmensdienste;Unternehmensdaten für (kommerzielle) Dienstleistungen;Identifizierbare Daten des Endbenutzers (DSGVO);Streng Vertraulich;
Unternehmensdienste;Unternehmensdaten für (kommerzielle) Dienstleistungen;Identifizierbare Daten der Organisation/des Tenants;Streng Vertraulich;
Unternehmensdienste;Unternehmensdaten für (kommerzielle) Dienstleistungen;Zahlungsdaten;Streng Vertraulich;
Unternehmensdienste;Unternehmensdaten für (kommerzielle) Dienstleistungen;System Meta-Daten;Vertraulich;
Services und Support;Kundendaten (identifizierbar durch Nutzer oder Organisation);Inhalt ;Streng Vertraulich;
Services und Support;Kundendaten (identifizierbar durch Nutzer oder Organisation);Vertragsanhänge;Streng Vertraulich;
Services und Support;Kundendaten (identifizierbar durch Nutzer oder Organisation);Geschützte Gesundheitsinformationen des Kunden;Streng Vertraulich;
Services und Support;Kundendaten (identifizierbar durch Nutzer oder Organisation);Systemdiagnosedaten des Kunden;Vertraulich;
Services und Support;Kundendaten (identifizierbar durch Nutzer oder Organisation);Support-Tickets oder Hinweise auf Support oder Beratung (DSGVO);Vertraulich;
Services und Support;Service- und Support-Daten;Daten zur Authentifizierung (Berechtigung);Streng Vertraulich;
Services und Support;Service- und Support-Daten;Kundengesprächsaufzeichnungen oder Gesprächsprotokolle;Streng Vertraulich;
Services und Support;Service- und Support-Daten;Kundenkontaktdaten (DSGVO);Vertraulich;
Services und Support;Service- und Support-Daten;E-Mail-Kopfzeilen;Intern;
Services und Support;Service- und Support-Daten;Telemetrie-Daten;Intern;
Verbraucherservices;Kundendienstdaten;Kontakte/Soziale Grafikdaten (DSGVO);Vertraulich;
Verbraucherservices;Kundendienstdaten;Daten zur Nutzung von Inhalten;Vertraulich;
Verbraucherservices;Kundendienstdaten;Kundenstandort (Breitengrad/Längengrad);Vertraulich;
Verbraucherservices;Kundendienstdaten;Daten von Drittanbietern ;Vertraulich;
Verbraucherservices;Kundendienstdaten;Abgeleitete Daten;Vertraulich;
Verbraucherservices;Kundendienstdaten;Zahlungsinformationen;Streng Vertraulich;
Verbraucherservices;Kundendienstdaten;Service-Nutzungsdaten;Vertraulich;
Verbraucherservices;Profildaten;Kontaktinformationen (DSGVO);Vertraulich;
Verbraucherservices;Profildaten;Berechtigungsnachweise (DSGVO);Streng Vertraulich;
Verbraucherservices;Profildaten;Demografische Daten (DSGVO);Vertraulich;
Verbraucherservices;Nutzergenerierte Inhalte;Kommunikation, Dokumente und Medien (DSGVO);Vertraulich;
Verbraucherservices;Nutzergenerierte Inhalte;Sensordaten (DSGVO);Vertraulich;
Nicht geschäftliche Daten;Sonstige;E-Mails an Freunde (DSGVO);;
Nicht geschäftliche Daten;Sonstige;Event Menü;;
Nicht geschäftliche Daten;Sonstige;Link zu einer Reiseseite ;;
Nicht geschäftliche Daten;Sonstige;Fußball-Spielplan ;;
